topology,D_m,L_m,spacing_D,H_kN,cycles,soil_k,eta_g,u_fem_anchor_mm,u_stress_mm,utilization,feasible,Vc_m3,Lt_m,Ac_m2,C_raw,C_norm,selected_candidate,candidate_id
2x2,0.90,12.0,4.0,100.0,100000,19199.698429,,4.829,8.780462,0.292682,yes,30.536281,48.000000,20.250000,32702.048862,32.702049,no,2x2_D0.90_L12_s4.0D
2x2,0.90,12.0,4.5,100.0,100000,19199.698429,,4.829,8.464714,0.282157,yes,30.536281,48.000000,24.502500,33106.036362,33.106036,no,2x2_D0.90_L12_s4.5D
2x2,0.90,14.0,2.5,100.0,100000,21224.958870,,4.829,10.102294,0.336743,yes,35.625661,56.000000,9.922500,36850.652840,36.850653,no,2x2_D0.90_L14_s2.5D
2x2,0.90,14.0,3.0,100.0,100000,21224.958870,,4.829,9.168096,0.305603,yes,35.625661,56.000000,12.960000,37139.215340,37.139215,no,2x2_D0.90_L14_s3.0D
2x2,0.90,14.0,3.5,100.0,100000,21224.958870,,4.829,8.559695,0.285323,yes,35.625661,56.000000,16.402500,37466.252840,37.466253,no,2x2_D0.90_L14_s3.5D
2x2,0.90,14.0,4.0,100.0,100000,21224.958870,,4.829,8.144286,0.271476,yes,35.625661,56.000000,20.250000,37831.765340,37.831765,no,2x2_D0.90_L14_s4.0D
2x2,0.90,14.0,4.5,100.0,100000,21224.958870,,4.829,7.851415,0.261714,yes,35.625661,56.000000,24.502500,38235.752840,38.235753,no,2x2_D0.90_L14_s4.5D
2x2,0.90,16.0,2.5,100.0,100000,23090.714279,,4.829,9.483685,0.316123,yes,40.715041,64.000000,9.922500,41980.369317,41.980369,no,2x2_D0.90_L16_s2.5D
2x2,0.90,16.0,3.0,100.0,100000,23090.714279,,4.829,8.606692,0.286890,yes,40.715041,64.000000,12.960000,42268.931817,42.268932,no,2x2_D0.90_L16_s3.0D
2x2,0.90,16.0,3.5,100.0,100000,23090.714279,,4.829,8.035546,0.267852,yes,40.715041,64.000000,16.402500,42595.969317,42.595969,no,2x2_D0.90_L16_s3.5D
2x2,0.90,16.0,4.0,100.0,100000,23090.714279,,4.829,7.645575,0.254853,yes,40.715041,64.000000,20.250000,42961.481817,42.961482,no,2x2_D0.90_L16_s4.0D
2x2,0.90,16.0,4.5,100.0,100000,23090.714279,,4.829,7.370637,0.245688,yes,40.715041,64.000000,24.502500,43365.469317,43.365469,no,2x2_D0.90_L16_s4.5D
2x2,0.90,18.0,2.5,100.0,100000,24800.593100,,4.829,8.988943,0.299631,yes,45.804421,72.000000,9.922500,47110.085794,47.110086,no,2x2_D0.90_L18_s2.5D
2x2,0.90,18.0,3.0,100.0,100000,24800.593100,,4.829,8.157700,0.271923,yes,45.804421,72.000000,12.960000,47398.648294,47.398648,no,2x2_D0.90_L18_s3.0D
2x2,0.90,18.0,3.5,100.0,100000,24800.593100,,4.829,7.616350,0.253878,yes,45.804421,72.000000,16.402500,47725.685794,47.725686,no,2x2_D0.90_L18_s3.5D
